nan;X;Y;X;Y;Puestos equivalentes;nan;100.0
Calle 3166;1;55;1;56;26;nan;nan
Calle 3167;1;56;1;57;26;nan;nan
Calle 3168;1;57;1;58;26;nan;nan
Calle 3169;1;58;1;59;26;nan;nan
Calle 3170;1;59;1;60;26;nan;nan
Calle 3171;2;0;2;1;26;nan;nan
Calle 3172;2;1;2;2;26;nan;nan
Calle 3173;2;2;2;3;26;nan;nan
Calle 3174;2;3;2;4;26;nan;nan
Calle 3175;2;4;2;5;26;nan;nan
Calle 3176;2;5;2;6;26;nan;nan
Calle 3177;2;6;2;7;26;nan;nan
Calle 3178;2;7;2;8;26;nan;nan
Calle 3179;2;8;2;9;26;nan;nan
Calle 3180;2;9;2;10;26;nan;nan
Calle 3181;2;10;2;11;26;nan;nan
Calle 3182;2;11;2;12;26;nan;nan
Calle 3183;2;12;2;13;26;nan;nan
Calle 3184;2;13;2;14;26;nan;nan
Calle 3185;2;14;2;15;26;nan;nan
Calle 3186;2;15;2;16;26;nan;nan
Calle 3187;2;16;2;17;26;nan;nan
Calle 3188;2;17;2;18;26;nan;nan
Calle 3189;2;18;2;19;26;nan;nan
Calle 3190;2;19;2;20;26;nan;nan
Calle 3191;2;20;2;21;26;nan;nan
Calle 3192;2;21;2;22;26;nan;nan
Calle 3193;2;22;2;23;26;nan;nan
Calle 3194;2;23;2;24;26;nan;nan
Calle 3195;2;24;2;25;26;nan;nan
Calle 3196;2;25;2;26;26;nan;nan
Calle 3197;2;26;2;27;26;nan;nan
Calle 3198;2;27;2;28;26;nan;nan
Calle 3199;2;28;2;29;26;nan;nan
Calle 3200;2;29;2;30;26;nan;nan
Calle 3201;2;30;2;31;26;nan;nan
Calle 3202;2;31;2;32;26;nan;nan
Calle 3203;2;32;2;33;26;nan;nan
Calle 3204;2;33;2;34;26;nan;nan
Calle 3205;2;34;2;35;26;nan;nan
Calle 3206;2;35;2;36;26;nan;nan
Calle 3207;2;36;2;37;26;nan;nan
Calle 3208;2;37;2;38;26;nan;nan
Calle 3209;2;38;2;39;26;nan;nan
Calle 3210;2;39;2;40;26;nan;nan
Calle 3211;2;40;2;41;26;nan;nan
Calle 3212;2;41;2;42;26;nan;nan
Calle 3213;2;42;2;43;26;nan;nan
Calle 3214;2;43;2;44;26;nan;nan
Calle 3215;2;44;2;45;26;nan;nan
Calle 3216;2;45;2;46;26;nan;nan
Calle 3217;2;46;2;47;26;nan;nan
Calle 3218;2;47;2;48;26;nan;nan
Calle 3219;2;48;2;49;26;nan;nan
Calle 3220;2;49;2;50;26;nan;nan
Calle 3221;2;50;2;51;26;nan;nan
Calle 3222;2;51;2;52;26;nan;nan
Calle 3223;2;52;2;53;26;nan;nan
Calle 3224;2;53;2;54;26;nan;nan
Calle 3225;2;54;2;55;26;nan;nan
Calle 3226;2;55;2;56;26;nan;nan
Calle 3227;2;56;2;57;26;nan;nan
Calle 3228;2;57;2;58;26;nan;nan
Calle 3229;2;58;2;59;26;nan;nan
Calle 3230;2;59;2;60;26;nan;nan
Calle 3231;3;0;3;1;26;nan;nan
Calle 3232;3;1;3;2;26;nan;nan
Calle 3233;3;2;3;3;26;nan;nan
Calle 3234;3;3;3;4;26;nan;nan
Calle 3235;3;4;3;5;26;nan;nan
Calle 3236;3;5;3;6;26;nan;nan
Calle 3237;3;6;3;7;26;nan;nan
Calle 3238;3;7;3;8;26;nan;nan
Calle 3239;3;8;3;9;26;nan;nan
Calle 3240;3;9;3;10;26;nan;nan
Calle 3241;3;10;3;11;26;nan;nan
Calle 3242;3;11;3;12;26;nan;nan
Calle 3243;3;12;3;13;26;nan;nan
Calle 3244;3;13;3;14;26;nan;nan
Calle 3245;3;14;3;15;26;nan;nan
Calle 3246;3;15;3;16;26;nan;nan
Calle 3247;3;16;3;17;26;nan;nan
Calle 3248;3;17;3;18;26;nan;nan
Calle 3249;3;18;3;19;26;nan;nan
Calle 3250;3;19;3;20;26;nan;nan
Calle 3251;3;20;3;21;26;nan;nan
Calle 3252;3;21;3;22;26;nan;nan
Calle 3253;3;22;3;23;26;nan;nan
Calle 3254;3;23;3;24;26;nan;nan
Calle 3255;3;24;3;25;26;nan;nan
Calle 3256;3;25;3;26;26;nan;nan
Calle 3257;3;26;3;27;26;nan;nan
Calle 3258;3;27;3;28;26;nan;nan
Calle 3259;3;28;3;29;26;nan;nan
Calle 3260;3;29;3;30;26;nan;nan
Calle 3261;3;30;3;31;26;nan;nan
Calle 3262;3;31;3;32;26;nan;nan
Calle 3263;3;32;3;33;26;nan;nan
Calle 3264;3;33;3;34;26;nan;nan
Calle 3265;3;34;3;35;26;nan;nan
Calle 3266;3;35;3;36;26;nan;nan
Calle 3267;3;36;3;37;26;nan;nan
Calle 3268;3;37;3;38;26;nan;nan
Calle 3269;3;38;3;39;26;nan;nan
Calle 3270;3;39;3;40;26;nan;nan
Calle 3271;3;40;3;41;26;nan;nan
Calle 3272;3;41;3;42;26;nan;nan
Calle 3273;3;42;3;43;26;nan;nan
Calle 3274;3;43;3;44;26;nan;nan
Calle 3275;3;44;3;45;26;nan;nan
Calle 3276;3;45;3;46;26;nan;nan
Calle 3277;3;46;3;47;26;nan;nan
Calle 3278;3;47;3;48;26;nan;nan
Calle 3279;3;48;3;49;26;nan;nan
Calle 3280;3;49;3;50;26;nan;nan
Calle 3281;3;50;3;51;26;nan;nan
Calle 3282;3;51;3;52;26;nan;nan
Calle 3283;3;52;3;53;26;nan;nan
Calle 3284;3;53;3;54;26;nan;nan
Calle 3285;3;54;3;55;26;nan;nan
Calle 3286;3;55;3;56;26;nan;nan
Calle 3287;3;56;3;57;26;nan;nan
Calle 3288;3;57;3;58;26;nan;nan
Calle 3289;3;58;3;59;26;nan;nan
Calle 3290;3;59;3;60;26;nan;nan
Calle 3291;4;0;4;1;26;nan;nan
Calle 3292;4;1;4;2;26;nan;nan
Calle 3293;4;2;4;3;26;nan;nan
Calle 3294;4;3;4;4;26;nan;nan
Calle 3295;4;4;4;5;26;nan;nan
Calle 3296;4;5;4;6;26;nan;nan
Calle 3297;4;6;4;7;26;nan;nan
Calle 3298;4;7;4;8;26;nan;nan
Calle 3299;4;8;4;9;26;nan;nan
Calle 3300;4;9;4;10;26;nan;nan
Calle 3301;4;10;4;11;26;nan;nan
Calle 3302;4;11;4;12;26;nan;nan
Calle 3303;4;12;4;13;26;nan;nan
Calle 3304;4;13;4;14;26;nan;nan
Calle 3305;4;14;4;15;26;nan;nan
Calle 3306;4;15;4;16;26;nan;nan
Calle 3307;4;16;4;17;26;nan;nan
Calle 3308;4;17;4;18;26;nan;nan
Calle 3309;4;18;4;19;26;nan;nan
Calle 3310;4;19;4;20;26;nan;nan
Calle 3311;4;20;4;21;26;nan;nan
Calle 3312;4;21;4;22;26;nan;nan
Calle 3313;4;22;4;23;26;nan;nan
Calle 3314;4;23;4;24;26;nan;nan
Calle 3315;4;24;4;25;26;nan;nan
Calle 3316;4;25;4;26;26;nan;nan
Calle 3317;4;26;4;27;26;nan;nan
Calle 3318;4;27;4;28;26;nan;nan
Calle 3319;4;28;4;29;26;nan;nan
Calle 3320;4;29;4;30;26;nan;nan
Calle 3321;4;30;4;31;26;nan;nan
Calle 3322;4;31;4;32;26;nan;nan
Calle 3323;4;32;4;33;26;nan;nan
Calle 3324;4;33;4;34;26;nan;nan
Calle 3325;4;34;4;35;26;nan;nan
Calle 3326;4;35;4;36;26;nan;nan
Calle 3327;4;36;4;37;26;nan;nan
Calle 3328;4;37;4;38;26;nan;nan
Calle 3329;4;38;4;39;26;nan;nan
Calle 3330;4;39;4;40;26;nan;nan
Calle 3331;4;40;4;41;26;nan;nan
Calle 3332;4;41;4;42;26;nan;nan
Calle 3333;4;42;4;43;26;nan;nan
Calle 3334;4;43;4;44;26;nan;nan
Calle 3335;4;44;4;45;26;nan;nan
Calle 3336;4;45;4;46;26;nan;nan
Calle 3337;4;46;4;47;26;nan;nan
Calle 3338;4;47;4;48;26;nan;nan
Calle 3339;4;48;4;49;26;nan;nan
Calle 3340;4;49;4;50;26;nan;nan
Calle 3341;4;50;4;51;26;nan;nan
Calle 3342;4;51;4;52;26;nan;nan
Calle 3343;4;52;4;53;26;nan;nan
Calle 3344;4;53;4;54;26;nan;nan
Calle 3345;4;54;4;55;26;nan;nan
Calle 3346;4;55;4;56;26;nan;nan
Calle 3347;4;56;4;57;26;nan;nan
Calle 3348;4;57;4;58;26;nan;nan
Calle 3349;4;58;4;59;26;nan;nan
Calle 3350;4;59;4;60;26;nan;nan
Calle 3351;5;0;5;1;26;nan;nan
Calle 3352;5;1;5;2;26;nan;nan
Calle 3353;5;2;5;3;26;nan;nan
Calle 3354;5;3;5;4;26;nan;nan
Calle 3355;5;4;5;5;26;nan;nan
Calle 3356;5;5;5;6;26;nan;nan
Calle 3357;5;6;5;7;26;nan;nan
Calle 3358;5;7;5;8;26;nan;nan
Calle 3359;5;8;5;9;26;nan;nan
Calle 3360;5;9;5;10;26;nan;nan
Calle 3361;5;10;5;11;26;nan;nan
Calle 3362;5;11;5;12;26;nan;nan
Calle 3363;5;12;5;13;26;nan;nan
Calle 3364;5;13;5;14;26;nan;nan
Calle 3365;5;14;5;15;26;nan;nan
Calle 3366;5;15;5;16;26;nan;nan
Calle 3367;5;16;5;17;26;nan;nan
Calle 3368;5;17;5;18;26;nan;nan
Calle 3369;5;18;5;19;26;nan;nan
Calle 3370;5;19;5;20;26;nan;nan
Calle 3371;5;20;5;21;26;nan;nan
Calle 3372;5;21;5;22;26;nan;nan
Calle 3373;5;22;5;23;26;nan;nan
Calle 3374;5;23;5;24;26;nan;nan
Calle 3375;5;24;5;25;26;nan;nan
Calle 3376;5;25;5;26;26;nan;nan
Calle 3377;5;26;5;27;26;nan;nan
Calle 3378;5;27;5;28;26;nan;nan
Calle 3379;5;28;5;29;26;nan;nan
Calle 3380;5;29;5;30;26;nan;nan
Calle 3381;5;30;5;31;26;nan;nan
Calle 3382;5;31;5;32;26;nan;nan
Calle 3383;5;32;5;33;26;nan;nan
Calle 3384;5;33;5;34;26;nan;nan
Calle 3385;5;34;5;35;26;nan;nan
Calle 3386;5;35;5;36;26;nan;nan
Calle 3387;5;36;5;37;26;nan;nan
Calle 3388;5;37;5;38;26;nan;nan
Calle 3389;5;38;5;39;26;nan;nan
Calle 3390;5;39;5;40;26;nan;nan
Calle 3391;5;40;5;41;26;nan;nan
Calle 3392;5;41;5;42;26;nan;nan
Calle 3393;5;42;5;43;26;nan;nan
Calle 3394;5;43;5;44;26;nan;nan
Calle 3395;5;44;5;45;26;nan;nan
Calle 3396;5;45;5;46;26;nan;nan
Calle 3397;5;46;5;47;26;nan;nan
Calle 3398;5;47;5;48;26;nan;nan
Calle 3399;5;48;5;49;26;nan;nan
Calle 3400;5;49;5;50;26;nan;nan
Calle 3401;5;50;5;51;26;nan;nan
Calle 3402;5;51;5;52;26;nan;nan
Calle 3403;5;52;5;53;26;nan;nan
Calle 3404;5;53;5;54;26;nan;nan
Calle 3405;5;54;5;55;26;nan;nan
Calle 3406;5;55;5;56;26;nan;nan
Calle 3407;5;56;5;57;26;nan;nan
Calle 3408;5;57;5;58;26;nan;nan
Calle 3409;5;58;5;59;26;nan;nan
Calle 3410;5;59;5;60;26;nan;nan
Calle 3411;6;0;6;1;26;nan;nan
Calle 3412;6;1;6;2;26;nan;nan
Calle 3413;6;2;6;3;26;nan;nan
Calle 3414;6;3;6;4;26;nan;nan
Calle 3415;6;4;6;5;26;nan;nan
Calle 3416;6;5;6;6;26;nan;nan
Calle 3417;6;6;6;7;26;nan;nan
Calle 3418;6;7;6;8;26;nan;nan
Calle 3419;6;8;6;9;26;nan;nan
Calle 3420;6;9;6;10;26;nan;nan
Calle 3421;6;10;6;11;26;nan;nan
Calle 3422;6;11;6;12;26;nan;nan
Calle 3423;6;12;6;13;26;nan;nan
Calle 3424;6;13;6;14;26;nan;nan
Calle 3425;6;14;6;15;26;nan;nan
Calle 3426;6;15;6;16;26;nan;nan
Calle 3427;6;16;6;17;26;nan;nan
Calle 3428;6;17;6;18;26;nan;nan
Calle 3429;6;18;6;19;26;nan;nan
Calle 3430;6;19;6;20;26;nan;nan
Calle 3431;6;20;6;21;26;nan;nan
Calle 3432;6;21;6;22;26;nan;nan
Calle 3433;6;22;6;23;26;nan;nan
Calle 3434;6;23;6;24;26;nan;nan
Calle 3435;6;24;6;25;26;nan;nan
Calle 3436;6;25;6;26;26;nan;nan
Calle 3437;6;26;6;27;26;nan;nan
Calle 3438;6;27;6;28;26;nan;nan
Calle 3439;6;28;6;29;26;nan;nan
Calle 3440;6;29;6;30;26;nan;nan
Calle 3441;6;30;6;31;26;nan;nan
Calle 3442;6;31;6;32;26;nan;nan
Calle 3443;6;32;6;33;26;nan;nan
Calle 3444;6;33;6;34;26;nan;nan
Calle 3445;6;34;6;35;26;nan;nan
Calle 3446;6;35;6;36;26;nan;nan
Calle 3447;6;36;6;37;26;nan;nan
Calle 3448;6;37;6;38;26;nan;nan
Calle 3449;6;38;6;39;26;nan;nan
Calle 3450;6;39;6;40;26;nan;nan
Calle 3451;6;40;6;41;26;nan;nan
Calle 3452;6;41;6;42;26;nan;nan
Calle 3453;6;42;6;43;26;nan;nan
Calle 3454;6;43;6;44;26;nan;nan
Calle 3455;6;44;6;45;26;nan;nan
Calle 3456;6;45;6;46;26;nan;nan
Calle 3457;6;46;6;47;26;nan;nan
Calle 3458;6;47;6;48;26;nan;nan
Calle 3459;6;48;6;49;26;nan;nan
Calle 3460;6;49;6;50;26;nan;nan
Calle 3461;6;50;6;51;26;nan;nan
Calle 3462;6;51;6;52;26;nan;nan
Calle 3463;6;52;6;53;26;nan;nan
Calle 3464;6;53;6;54;26;nan;nan
Calle 3465;6;54;6;55;26;nan;nan
Calle 3466;6;55;6;56;26;nan;nan
Calle 3467;6;56;6;57;26;nan;nan
Calle 3468;6;57;6;58;26;nan;nan
Calle 3469;6;58;6;59;26;nan;nan
Calle 3470;6;59;6;60;26;nan;nan
Calle 3471;7;0;7;1;26;nan;nan
Calle 3472;7;1;7;2;26;nan;nan
Calle 3473;7;2;7;3;26;nan;nan
Calle 3474;7;3;7;4;26;nan;nan
Calle 3475;7;4;7;5;26;nan;nan
Calle 3476;7;5;7;6;26;nan;nan
Calle 3477;7;6;7;7;26;nan;nan
Calle 3478;7;7;7;8;26;nan;nan
Calle 3479;7;8;7;9;26;nan;nan
Calle 3480;7;9;7;10;26;nan;nan
Calle 3481;7;10;7;11;26;nan;nan
Calle 3482;7;11;7;12;26;nan;nan
Calle 3483;7;12;7;13;26;nan;nan
Calle 3484;7;13;7;14;26;nan;nan
Calle 3485;7;14;7;15;26;nan;nan
Calle 3486;7;15;7;16;26;nan;nan
Calle 3487;7;16;7;17;26;nan;nan
Calle 3488;7;17;7;18;26;nan;nan
Calle 3489;7;18;7;19;26;nan;nan
Calle 3490;7;19;7;20;26;nan;nan
Calle 3491;7;20;7;21;26;nan;nan
Calle 3492;7;21;7;22;26;nan;nan
Calle 3493;7;22;7;23;26;nan;nan
Calle 3494;7;23;7;24;26;nan;nan
Calle 3495;7;24;7;25;26;nan;nan
Calle 3496;7;25;7;26;26;nan;nan
Calle 3497;7;26;7;27;26;nan;nan
Calle 3498;7;27;7;28;26;nan;nan
Calle 3499;7;28;7;29;26;nan;nan
Calle 3500;7;29;7;30;26;nan;nan
Calle 3501;7;30;7;31;26;nan;nan
Calle 3502;7;31;7;32;26;nan;nan
Calle 3503;7;32;7;33;26;nan;nan
Calle 3504;7;33;7;34;26;nan;nan
Calle 3505;7;34;7;35;26;nan;nan
Calle 3506;7;35;7;36;26;nan;nan
Calle 3507;7;36;7;37;26;nan;nan
Calle 3508;7;37;7;38;26;nan;nan
Calle 3509;7;38;7;39;26;nan;nan
Calle 3510;7;39;7;40;26;nan;nan
Calle 3511;7;40;7;41;26;nan;nan
Calle 3512;7;41;7;42;26;nan;nan
Calle 3513;7;42;7;43;26;nan;nan
Calle 3514;7;43;7;44;26;nan;nan
Calle 3515;7;44;7;45;26;nan;nan
Calle 3516;7;45;7;46;26;nan;nan
Calle 3517;7;46;7;47;26;nan;nan
Calle 3518;7;47;7;48;26;nan;nan
Calle 3519;7;48;7;49;26;nan;nan
Calle 3520;7;49;7;50;26;nan;nan
Calle 3521;7;50;7;51;26;nan;nan
Calle 3522;7;51;7;52;26;nan;nan
Calle 3523;7;52;7;53;26;nan;nan
Calle 3524;7;53;7;54;26;nan;nan
Calle 3525;7;54;7;55;26;nan;nan
Calle 3526;7;55;7;56;26;nan;nan
Calle 3527;7;56;7;57;26;nan;nan
Calle 3528;7;57;7;58;26;nan;nan
Calle 3529;7;58;7;59;26;nan;nan
Calle 3530;7;59;7;60;26;nan;nan
Calle 3531;8;0;8;1;26;nan;nan
Calle 3532;8;1;8;2;26;nan;nan
Calle 3533;8;2;8;3;26;nan;nan
Calle 3534;8;3;8;4;26;nan;nan
Calle 3535;8;4;8;5;26;nan;nan
Calle 3536;8;5;8;6;26;nan;nan
Calle 3537;8;6;8;7;26;nan;nan
Calle 3538;8;7;8;8;26;nan;nan
Calle 3539;8;8;8;9;26;nan;nan
Calle 3540;8;9;8;10;26;nan;nan
Calle 3541;8;10;8;11;26;nan;nan
Calle 3542;8;11;8;12;26;nan;nan
Calle 3543;8;12;8;13;26;nan;nan
Calle 3544;8;13;8;14;26;nan;nan
Calle 3545;8;14;8;15;26;nan;nan
Calle 3546;8;15;8;16;26;nan;nan
Calle 3547;8;16;8;17;26;nan;nan
Calle 3548;8;17;8;18;26;nan;nan
Calle 3549;8;18;8;19;26;nan;nan
Calle 3550;8;19;8;20;26;nan;nan
Calle 3551;8;20;8;21;26;nan;nan
Calle 3552;8;21;8;22;26;nan;nan
Calle 3553;8;22;8;23;26;nan;nan
Calle 3554;8;23;8;24;26;nan;nan
Calle 3555;8;24;8;25;26;nan;nan
Calle 3556;8;25;8;26;26;nan;nan
Calle 3557;8;26;8;27;26;nan;nan
Calle 3558;8;27;8;28;26;nan;nan
Calle 3559;8;28;8;29;26;nan;nan
Calle 3560;8;29;8;30;26;nan;nan
Calle 3561;8;30;8;31;26;nan;nan
Calle 3562;8;31;8;32;26;nan;nan
Calle 3563;8;32;8;33;26;nan;nan
Calle 3564;8;33;8;34;26;nan;nan
Calle 3565;8;34;8;35;26;nan;nan
Calle 3566;8;35;8;36;26;nan;nan
Calle 3567;8;36;8;37;26;nan;nan
Calle 3568;8;37;8;38;26;nan;nan
Calle 3569;8;38;8;39;26;nan;nan
Calle 3570;8;39;8;40;26;nan;nan
Calle 3571;8;40;8;41;26;nan;nan
Calle 3572;8;41;8;42;26;nan;nan
Calle 3573;8;42;8;43;26;nan;nan
Calle 3574;8;43;8;44;26;nan;nan
Calle 3575;8;44;8;45;26;nan;nan
Calle 3576;8;45;8;46;26;nan;nan
Calle 3577;8;46;8;47;26;nan;nan
Calle 3578;8;47;8;48;26;nan;nan
Calle 3579;8;48;8;49;26;nan;nan
Calle 3580;8;49;8;50;26;nan;nan
Calle 3581;8;50;8;51;26;nan;nan
Calle 3582;8;51;8;52;26;nan;nan
Calle 3583;8;52;8;53;26;nan;nan
Calle 3584;8;53;8;54;26;nan;nan
Calle 3585;8;54;8;55;26;nan;nan
Calle 3586;8;55;8;56;26;nan;nan
Calle 3587;8;56;8;57;26;nan;nan
Calle 3588;8;57;8;58;26;nan;nan
Calle 3589;8;58;8;59;26;nan;nan
Calle 3590;8;59;8;60;26;nan;nan
Calle 3591;9;0;9;1;26;nan;nan
Calle 3592;9;1;9;2;26;nan;nan
Calle 3593;9;2;9;3;26;nan;nan
Calle 3594;9;3;9;4;26;nan;nan
Calle 3595;9;4;9;5;26;nan;nan
Calle 3596;9;5;9;6;26;nan;nan
Calle 3597;9;6;9;7;26;nan;nan
Calle 3598;9;7;9;8;26;nan;nan
Calle 3599;9;8;9;9;26;nan;nan
Calle 3600;9;9;9;10;26;nan;nan
Calle 3601;9;10;9;11;26;nan;nan
Calle 3602;9;11;9;12;26;nan;nan
Calle 3603;9;12;9;13;26;nan;nan
Calle 3604;9;13;9;14;26;nan;nan
Calle 3605;9;14;9;15;26;nan;nan
Calle 3606;9;15;9;16;26;nan;nan
Calle 3607;9;16;9;17;26;nan;nan
Calle 3608;9;17;9;18;26;nan;nan
Calle 3609;9;18;9;19;26;nan;nan
Calle 3610;9;19;9;20;26;nan;nan
Calle 3611;9;20;9;21;26;nan;nan
Calle 3612;9;21;9;22;26;nan;nan
Calle 3613;9;22;9;23;26;nan;nan
Calle 3614;9;23;9;24;26;nan;nan
Calle 3615;9;24;9;25;26;nan;nan
Calle 3616;9;25;9;26;26;nan;nan
Calle 3617;9;26;9;27;26;nan;nan
Calle 3618;9;27;9;28;26;nan;nan
Calle 3619;9;28;9;29;26;nan;nan
Calle 3620;9;29;9;30;26;nan;nan
Calle 3621;9;30;9;31;26;nan;nan
Calle 3622;9;31;9;32;26;nan;nan
Calle 3623;9;32;9;33;26;nan;nan
Calle 3624;9;33;9;34;26;nan;nan
Calle 3625;9;34;9;35;26;nan;nan
Calle 3626;9;35;9;36;26;nan;nan
Calle 3627;9;36;9;37;26;nan;nan
Calle 3628;9;37;9;38;26;nan;nan
Calle 3629;9;38;9;39;26;nan;nan
Calle 3630;9;39;9;40;26;nan;nan
Calle 3631;9;40;9;41;26;nan;nan
Calle 3632;9;41;9;42;26;nan;nan
Calle 3633;9;42;9;43;26;nan;nan
Calle 3634;9;43;9;44;26;nan;nan
Calle 3635;9;44;9;45;26;nan;nan
Calle 3636;9;45;9;46;26;nan;nan
Calle 3637;9;46;9;47;26;nan;nan
Calle 3638;9;47;9;48;26;nan;nan
Calle 3639;9;48;9;49;26;nan;nan
Calle 3640;9;49;9;50;26;nan;nan
Calle 3641;9;50;9;51;26;nan;nan
Calle 3642;9;51;9;52;26;nan;nan
Calle 3643;9;52;9;53;26;nan;nan
Calle 3644;9;53;9;54;26;nan;nan
Calle 3645;9;54;9;55;26;nan;nan
Calle 3646;9;55;9;56;26;nan;nan
Calle 3647;9;56;9;57;26;nan;nan
Calle 3648;9;57;9;58;26;nan;nan
Calle 3649;9;58;9;59;26;nan;nan
Calle 3650;9;59;9;60;26;nan;nan
Calle 3651;10;0;10;1;26;nan;nan
Calle 3652;10;1;10;2;26;nan;nan
Calle 3653;10;2;10;3;26;nan;nan
Calle 3654;10;3;10;4;26;nan;nan
Calle 3655;10;4;10;5;26;nan;nan
Calle 3656;10;5;10;6;26;nan;nan
Calle 3657;10;6;10;7;26;nan;nan
Calle 3658;10;7;10;8;26;nan;nan
Calle 3659;10;8;10;9;26;nan;nan
Calle 3660;10;9;10;10;26;nan;nan
Calle 3661;10;10;10;11;26;nan;nan
Calle 3662;10;11;10;12;26;nan;nan
Calle 3663;10;12;10;13;26;nan;nan
Calle 3664;10;13;10;14;26;nan;nan
Calle 3665;10;14;10;15;26;nan;nan
Calle 3666;10;15;10;16;26;nan;nan
Calle 3667;10;16;10;17;26;nan;nan
Calle 3668;10;17;10;18;26;nan;nan
Calle 3669;10;18;10;19;26;nan;nan
Calle 3670;10;19;10;20;26;nan;nan
Calle 3671;10;20;10;21;26;nan;nan
Calle 3672;10;21;10;22;26;nan;nan
Calle 3673;10;22;10;23;26;nan;nan
Calle 3674;10;23;10;24;26;nan;nan
Calle 3675;10;24;10;25;26;nan;nan
Calle 3676;10;25;10;26;26;nan;nan
Calle 3677;10;26;10;27;26;nan;nan
Calle 3678;10;27;10;28;26;nan;nan
Calle 3679;10;28;10;29;26;nan;nan
Calle 3680;10;29;10;30;26;nan;nan
Calle 3681;10;30;10;31;26;nan;nan
Calle 3682;10;31;10;32;26;nan;nan
Calle 3683;10;32;10;33;26;nan;nan
Calle 3684;10;33;10;34;26;nan;nan
Calle 3685;10;34;10;35;26;nan;nan
Calle 3686;10;35;10;36;26;nan;nan
Calle 3687;10;36;10;37;26;nan;nan
Calle 3688;10;37;10;38;26;nan;nan
Calle 3689;10;38;10;39;26;nan;nan
Calle 3690;10;39;10;40;26;nan;nan
Calle 3691;10;40;10;41;26;nan;nan
Calle 3692;10;41;10;42;26;nan;nan
Calle 3693;10;42;10;43;26;nan;nan
Calle 3694;10;43;10;44;26;nan;nan
Calle 3695;10;44;10;45;26;nan;nan
Calle 3696;10;45;10;46;26;nan;nan
Calle 3697;10;46;10;47;26;nan;nan
Calle 3698;10;47;10;48;26;nan;nan
Calle 3699;10;48;10;49;26;nan;nan
Calle 3700;10;49;10;50;26;nan;nan
Calle 3701;10;50;10;51;26;nan;nan
Calle 3702;10;51;10;52;26;nan;nan
Calle 3703;10;52;10;53;26;nan;nan
Calle 3704;10;53;10;54;26;nan;nan
Calle 3705;10;54;10;55;26;nan;nan
Calle 3706;10;55;10;56;26;nan;nan
Calle 3707;10;56;10;57;26;nan;nan
Calle 3708;10;57;10;58;26;nan;nan
Calle 3709;10;58;10;59;26;nan;nan
Calle 3710;10;59;10;60;26;nan;nan
Calle 3711;11;0;11;1;26;nan;nan
Calle 3712;11;1;11;2;26;nan;nan
Calle 3713;11;2;11;3;26;nan;nan
Calle 3714;11;3;11;4;26;nan;nan
Calle 3715;11;4;11;5;26;nan;nan
Calle 3716;11;5;11;6;26;nan;nan
Calle 3717;11;6;11;7;26;nan;nan
Calle 3718;11;7;11;8;26;nan;nan
Calle 3719;11;8;11;9;26;nan;nan
Calle 3720;11;9;11;10;26;nan;nan
Calle 3721;11;10;11;11;26;nan;nan
Calle 3722;11;11;11;12;26;nan;nan
Calle 3723;11;12;11;13;26;nan;nan
Calle 3724;11;13;11;14;26;nan;nan
Calle 3725;11;14;11;15;26;nan;nan
Calle 3726;11;15;11;16;26;nan;nan
Calle 3727;11;16;11;17;26;nan;nan
Calle 3728;11;17;11;18;26;nan;nan
Calle 3729;11;18;11;19;26;nan;nan
Calle 3730;11;19;11;20;26;nan;nan
Calle 3731;11;20;11;21;26;nan;nan
Calle 3732;11;21;11;22;26;nan;nan
Calle 3733;11;22;11;23;26;nan;nan
Calle 3734;11;23;11;24;26;nan;nan
Calle 3735;11;24;11;25;26;nan;nan
Calle 3736;11;25;11;26;26;nan;nan
Calle 3737;11;26;11;27;26;nan;nan
Calle 3738;11;27;11;28;26;nan;nan
Calle 3739;11;28;11;29;26;nan;nan
Calle 3740;11;29;11;30;26;nan;nan
Calle 3741;11;30;11;31;26;nan;nan
Calle 3742;11;31;11;32;26;nan;nan
Calle 3743;11;32;11;33;26;nan;nan
Calle 3744;11;33;11;34;26;nan;nan
Calle 3745;11;34;11;35;26;nan;nan
Calle 3746;11;35;11;36;26;nan;nan
Calle 3747;11;36;11;37;26;nan;nan
Calle 3748;11;37;11;38;26;nan;nan
Calle 3749;11;38;11;39;26;nan;nan
Calle 3750;11;39;11;40;26;nan;nan
Calle 3751;11;40;11;41;26;nan;nan
Calle 3752;11;41;11;42;26;nan;nan
Calle 3753;11;42;11;43;26;nan;nan
Calle 3754;11;43;11;44;26;nan;nan
Calle 3755;11;44;11;45;26;nan;nan
Calle 3756;11;45;11;46;26;nan;nan
Calle 3757;11;46;11;47;26;nan;nan
Calle 3758;11;47;11;48;26;nan;nan
Calle 3759;11;48;11;49;26;nan;nan
Calle 3760;11;49;11;50;26;nan;nan
Calle 3761;11;50;11;51;26;nan;nan
Calle 3762;11;51;11;52;26;nan;nan
Calle 3763;11;52;11;53;26;nan;nan
Calle 3764;11;53;11;54;26;nan;nan
Calle 3765;11;54;11;55;26;nan;nan
Calle 3766;11;55;11;56;26;nan;nan
Calle 3767;11;56;11;57;26;nan;nan
Calle 3768;11;57;11;58;26;nan;nan
Calle 3769;11;58;11;59;26;nan;nan
Calle 3770;11;59;11;60;26;nan;nan
Calle 3771;12;0;12;1;26;nan;nan
Calle 3772;12;1;12;2;26;nan;nan
